Country,Region,City,Name,Street,Zip,Latitude,Longitude
Australia,Victoria,Springvale,IKEA Springvale,917 Princes Highway,3171,-37.9265315,145.1439079
Australia,Victoria,Richmond,IKEA Richmond,630 Victoria Street,3121,-37.81229155,145.01114104467587
Australia,Australian CapitalTerritory ,Canberra,IKEA Canberra Store,"1030 Majura Rd, Pialligo ACT 2609",2609,-35.294783100000004,149.18698860546888
Australia,New South Wales,Tempe,IKEATempe Store,634-726 Princes Highway,2044,-33.9226307,151.16548626991158
Australia,New South Wales,Rhodes,IKEA Rhodes Store,1 Oulton Avenue,2138,-33.8241444,151.09235013094218
Australia,New South Wales,Marsden Park,IKEA Marsden Park Store,1 Hollinsworth Road,2765,-33.71910565,150.84259475453
Australia,Queensland,Slacks Creek,IKEA Logan Store,3539-3565 PACIFIC HIGHWAY,4127,-27.6353666,153.13290634621475
Australia,Queensland,North Lakes,IKEA North Lakes Store,3 NORTH LAKES DRIVE,4509,-27.2434719,153.0156927
Australia,South Australia,Adelaide,IKEA Adelaide Store,397 Sir Donald Bradman Dr,5950,-34.934244199999995,138.53837202624896
Australia,Western Australia,Perth,IKEA Perth Store,"6 SUNRAY DRIVE, INNALOO",6018,-31.896595640234374,115.80379243991332
Austria,NaN,Graz,IKEA Graz,Weblinger Gürtel 31,NaN,47.0322845,15.4218942
Austria,NaN,Innsbruck,IKEA Innsbruck,Amraser-See-Straße 56 C,NaN,47.2611213,11.4307252
Austria,NaN,Klagenfurt,IKEA Klagenfurt,IKEA Platz 1,NaN,46.6396598,14.3695875
Austria,NaN,Haid,IKEA Linz Haid,IKEA Platz 1,NaN,48.19692515,14.25060391809654
Austria,NaN,Salzburg,IKEA Salzburg,Europastraße 5,NaN,47.81675935,13.005999678661215
Austria,NaN,Vösendorf,IKEA Vösendorf,Shopping City Süd,NaN,48.106053,16.318403662041113
Austria,NaN,Wien,IKEA Wien Nord,Sverigestrasse 1 A,NaN,48.25397185,16.4712171234182
Bahrain,NaN,Manama,IKEA Manama,Salmabad block 712,NaN,26.180091975386915,50.5046416994052
Belgium,NaN,Anderlecht,IKEA Anderlecht,Chaussee De Mons 1432,NaN,50.8108599,4.291444842197057
Belgium,NaN,Arlon,IKEA Arlon,Rue de Grasse 100,NaN,49.63748565,5.891140554466112
Belgium,NaN,Sint-Denijs-Westrem,IKEA Gent,Maaltekouter 2,NaN,51.02334625,3.6881193529359
